year,country,area_harvested_1000ha,imports_1000mt,exports_1000mt,ending_stocks_1000mt,yoy_exports_pct,yoy_stocks_pct,psd_production_1000mt,owid_production_tonnes,divergence_pct,divergence_flag,enso_analog_flag,provenance
2003,IDN,,,,,,,,695361.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2003
2004,IDN,,,,,,,,691704.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2004
2005,IDN,,,,,,,,748827.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2005
2006,IDN,,,,,,,,769386.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2006
2007,IDN,,,,,,,,740006.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2007
2008,IDN,,,,,,,,803593.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2008
2009,IDN,,,,,,,,809583.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2009
2010,IDN,,,,,,,,844626.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2010
2011,IDN,,,,,,,,712200.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2011
2012,IDN,,,,,,,,740500.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2012
2013,IDN,,,,,,,,720900.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2013
2014,IDN,,,,,,,,728400.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2014
2015,IDN,,,,,,,,593331.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2015
2016,IDN,,,,,,,,656817.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2016
2017,IDN,,,,,,,,590684.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2017
2018,IDN,,,,,,,,767280.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2018
2019,IDN,,,,,,,,734795.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2019
2020,IDN,,,,,,,,720660.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2020
